Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
280,BLACKWOOD MAIN-196,BLACKWOOD MAIN,HANNAFORD ROAD,BLACKWOOD,HANNAFORD ROAD,BLACKWOOD,HANNAFORD ROAD|BLACKWOOD,No,Accepted,Accepted (preserved validated),Active,"1 Hannaford Road, Blackwood SA","1 HANNAFORD ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01504179262541,138.6093353184496,No,,
281,BLACKWOOD MAIN-197,BLACKWOOD MAIN,HARCOURT AVENUE,BELAIR,HARCOURT AVENUE,BELAIR,HARCOURT AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 HARCOURT AVENUE, BELAIR SA","1 HARCOURT AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.005738313933456,138.63048801356916,No,,
285,CORO STREETS-44,CORO STREETS,HEATH LANE,FLAGSTAFF HILL,HEATH LANE,FLAGSTAFF HILL,HEATH LANE|FLAGSTAFF HILL,No,Accepted,Accepted,Active,"2 HEATH LANE, FLAGSTAFF HILL SA","2 HEATH LANE, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",No. 2,100,-35.05651147076278,138.61403135160432,No,,
286,CORO STREETS-43,CORO STREETS,HEATHER DRIVE,COROMANDEL VALLEY,HEATHER DRIVE,COROMANDEL VALLEY,HEATHER DRIVE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 HEATHER DRIVE, COROMANDEL VALLEY SA","1 HEATHER DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.036440860937624,138.6260162956464,No,,
287,BLACKWOOD MAIN-200,BLACKWOOD MAIN,HEATHFIELD ROAD,BELLEVUE HEIGHTS,HEATHFIELD ROAD,BELLEVUE HEIGHTS,HEATHFIELD ROAD|BELLEVUE HEIGHTS,No,Accepted,Accepted,Active,"1 HEATHFIELD ROAD, BELLEVUE HEIGHTS SA","1 HEATHFIELD ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02636980078188,138.58270958071213,No,,
290,BLACKWOOD MAIN-202,BLACKWOOD MAIN,HIGH STREET,BELAIR,HIGH STREET,BELAIR,HIGH STREET|BELAIR,No,Accepted,Accepted,Active,"1 HIGH STREET, BELAIR SA","1 HIGH STREET, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00520145162577,138.6081290681817,No,,
292,BLACKWOOD MAIN-203,BLACKWOOD MAIN,HIGHLAND COURT,BELAIR,HIGHLAND COURT,BELAIR,HIGHLAND COURT|BELAIR,No,Accepted,Accepted,Active,"2 HIGHLAND COURT, BELAIR SA","2 HIGHLAND COURT, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-34.99693825483419,138.61945013875382,No,,
293,BLACKWOOD MAIN-204,BLACKWOOD MAIN,HIGHLAND DRIVE,BELLEVUE HEIGHTS,HIGHLAND DRIVE,BELLEVUE HEIGHTS,HIGHLAND DRIVE|BELLEVUE HEIGHTS,No,Accepted,Accepted,Active,"1 HIGHLAND DRIVE, BELLEVUE HEIGHTS SA","1 HIGHLAND DRIVE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02674941117438,138.58588219146688,No,,
294,BLACKWOOD MAIN-205,BLACKWOOD MAIN,HILL ROAD,EDEN HILLS,HILL ROAD,EDEN HILLS,HILL ROAD|EDEN HILLS,No,Accepted,Accepted,Active,"1 HILL ROAD, EDEN HILLS SA","1 HILL ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.01932032550303,138.6064658267712,No,,
295,BLACKWOOD MAIN-206,BLACKWOOD MAIN,HILLCREST DRIVE,EDEN HILLS,HILLCREST DRIVE,EDEN HILLS,HILLCREST DRIVE|EDEN HILLS,No,Accepted,Accepted,Active,"1 HILLCREST DRIVE, EDEN HILLS SA","1 HILLCREST DRIVE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.01578037854375,138.57733864510698,No,,
